83818_D04	-0.0297	0.0108	0.0102	-0.0081	-0.0169	-0.0086	0.0027	-0.0127	0.0025	0.0022	Italy	South
83818_D05	0.006	-0.0048	0.0059	0.0193	-0.0048	-0.0132	-0.0178	0.0073	0.0153	-0.0018	GNG	Central
83818_D07	-0.0003	0.0013	0.003	0.0163	-0.004	0.0015	-0.0009	-0.0012	-0.0013	0.0109	Germany	Central
83818_D08	-0.0026	-0.001	0.0035	0.0081	0.0023	0.0085	-0.0023	-0.0205	0.0047	-0.0106	Germany	Central
83818_D09	0.0025	0.0061	-0.0105	0.0149	0.0042	-0.0104	-0.0014	0.0186	0.0192	0.0316	Germany	Central
83818_D11	0.0071	-0.0081	0.0062	0.0204	0.0001	-0.0092	0.0071	0.0058	-0.0061	0.0041	GNG	Central
83818_E02	-0.0231	-0.0016	0.0033	-0.0068	0.0047	0.0043	-0.0024	-0.0201	-0.018	0.0061	Italy	South
83818_E03	-0.0228	0.007	0.007	-0.0088	-0.0023	0.003	0.0202	0.0012	-0.0028	-0.0102	Italy	South
83818_E04	-0.0174	0.0011	0.0081	-0.0091	-0.001	0.0091	-0.0037	-0.0099	-0.0077	-0.001	Italy	South
83818_E05	-0.002	0.0026	-0.0023	-0.0005	-0.0063	-0.0064	0.0017	-0.0086	-0.0088	-0.0151	Germany	Central
83818_E06	-0.0073	-0.001	-0.0011	-0.0014	0.0017	0.0095	-0.0127	0.0084	0.0052	0.0098	Germany	Central
83818_E07	-0.0001	-0.003	0.001	0.0111	0.0004	0.0005	0.0001	0.0026	-0.0087	-0.0109	Germany	Central
83818_E08	0.0009	-0.0	-0.0073	0.0032	0.0	0.0061	-0.0067	0.0069	0.0057	-0.0013	Germany	Central
83818_E09	0.0053	-0.0014	0.0051	0.0198	-0.001	0.0013	-0.0056	0.0157	0.0047	-0.0189	GNG	Central
83818_E10	-0.0028	0.0137	-0.012	0.007	-0.0087	0.0037	-0.007	-0.0134	0.0042	-0.0066	Germany	Central
83818_E12	0.0027	0.027	-0.0309	0.01	-0.0069	0.0083	-0.0045	0.0215	0.0038	-0.0105	Germany	Central
83818_F02	-0.0203	0.0008	0.0036	-0.0024	-0.0051	-0.0026	0.0113	0.0122	0.0052	0.0005	Italy	South
83818_F03	-0.0183	0.0093	-0.0006	-0.0015	0.0018	0.0032	0.003	-0.0222	-0.0092	0.014	Italy	South
83818_F04	-0.023	0.0035	0.006	-0.0002	-0.0044	0.0018	-0.0036	0.0135	-0.0122	-0.0045	Italy	South
83818_F05	-0.0048	0.0008	-0.0	0.0112	0.003	0.0087	0.0104	-0.001	0.0059	0.0158	Germany	Central
83818_F06	0.0042	0.0026	0.0019	0.0189	-0.0031	0.0024	0.0118	0.004	-0.0036	-0.0057	GNG	Central
83818_F07	0.0017	0.008	-0.013	0.0106	0.0007	0.0088	0.008	0.0098	0.011	-0.0026	Germany	Central
83818_F08	-0.0009	0.0119	-0.0104	0.0071	-0.0067	-0.0017	0.0116	0.0008	0.0135	0.0013	Germany	Central
83818_F09	-0.0	-0.0044	0.003	0.0109	0.0055	-0.0073	0.0231	0.0012	0.016	0.0068	Germany	Central
83818_F10	0.0002	-0.0001	-0.0002	0.017	-0.0025	0.0014	0.0027	-0.0029	0.0005	0.006	Germany	Central
83818_F12	0.0051	0.0049	-0.0012	0.0112	-0.0003	-0.0064	-0.0008	0.0121	-0.0056	-0.0217	GNG	Central
83818_G02	-0.0293	0.0151	0.012	-0.002	-0.0179	-0.0063	0.0109	0.0003	-0.0003	0.009	Italy	South
83818_G03	-0.0321	0.0107	0.0138	-0.0078	-0.0182	-0.0069	0.0178	-0.0192	0.0252	0.0148	Italy	South
