id	pop	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10	group
116277_B07	Sweden	0.0131	-0.0096	-0.0169	0.0068	-0.0083	0.0025	-0.0003	0.0077	0.002	-0.007	North
116277_C01	Denmark	0.0077	0.0011	-0.0047	-0.0094	0.006	0.0013	-0.0018	-0.0045	0.0013	0.0017	North
116277_C02	Denmark	0.0072	0.0001	-0.0061	-0.0087	0.008	-0.0026	-0.0035	-0.004	0.0003	0.0069	North
116277_C03	Italy	-0.0214	-0.0016	-0.0013	-0.002	-0.0113	0.0031	0.0021	-0.0005	-0.0005	-0.0062	South
116277_C05	GNG	0.004	-0.007	0.0022	-0.007	0.002	-0.003	-0.0015	0.0011	-0.0025	0.0047	Central
116277_C06	Sweden	0.0116	-0.015	-0.0054	0.006	-0.0038	-0.0029	-0.0059	0.0031	-0.0003	-0.0089	North
116277_C07	Sweden	0.0117	-0.007	-0.0096	0.0023	-0.0037	-0.0032	-0.004	0.0061	-0.004	0.0058	North
116277_D01	Denmark	0.0062	0.0004	-0.0126	-0.0028	0.0063	-0.0048	0.0025	0.0071	0.0041	-0.0036	North
116277_D02	Denmark	0.0085	-0.0044	-0.0044	0.0001	0.0011	0.0031	0.0084	-0.0057	0.0043	0.003	North
116277_D03	Italy	-0.0293	-0.0075	-0.0115	0.0024	0.0067	0.0084	-0.0057	-0.0003	-0.0085	0.0037	South
116277_D04	Germany	-0.0019	0.0036	-0.0075	-0.0014	-0.0047	-0.0038	-0.0025	-0.0082	0.002	-0.002	Central
116277_D05	Germany	0.0007	0.0017	0.001	-0.0104	0.0037	-0.0006	0.0028	-0.0046	-0.0002	0.0059	Central
116277_D06	Sweden	0.0122	-0.0106	-0.0114	0.0058	-0.0009	0.0034	-0.0031	0.0079	0.0025	0.0098	North
116277_E01	Denmark	0.0082	0.0023	-0.0058	-0.0084	0.0066	-0.0041	-0.0085	0.0173	-0.0051	0.0076	North
116277_E02	Denmark	0.0071	0.0014	-0.0088	-0.0048	0.0026	-0.0002	-0.0155	-0.0068	-0.0076	-0.0008	North
116277_E03	Italy	-0.0224	-0.0036	-0.0026	-0.0031	-0.0042	0.0074	-0.0009	-0.0077	-0.0027	-0.0041	South
116277_E04	Germany	0.0013	-0.0124	0.0132	-0.0126	-0.0017	-0.0001	0.0051	0.0048	0.0006	0.0175	Central
116277_E05	Germany	0.0029	-0.0063	0.0147	-0.0073	0.0028	0.0025	0.0046	-0.0001	-0.001	0.0008	Central
116277_F02	Denmark	0.0071	-0.0009	-0.0099	-0.0087	0.0014	-0.0068	0.0076	0.0027	-0.0037	-0.0035	North
116277_F03	Germany	0.0014	-0.0008	0.0124	-0.0085	0.0065	0.0044	-0.0041	-0.0029	0.0048	-0.0016	Central
116277_F04	Germany	0.0012	-0.0074	0.0099	-0.0096	-0.0028	-0.002	0.0039	0.005	-0.0024	0.0023	Central
116277_G01	Denmark	0.0096	0.0024	-0.0014	-0.0093	0.0029	-0.0046	-0.0045	-0.0065	0.0008	0.0033	North
116277_G02	Italy	-0.0186	-0.0028	-0.0007	-0.001	-0.014	0.0044	0.0052	0.0056	0.0184	-0.0097	South
116277_G03	Germany	0.0008	-0.0129	0.0108	-0.014	-0.0016	0.0026	0.0051	-0.0039	0.0003	-0.0024	Central
116277_G04	Germany	0.0042	-0.0248	0.0285	-0.0109	-0.0005	-0.0089	0.0066	0.0023	0.005	-0.0009	Central
116277_G05	Germany	0.0028	-0.002	0.0015	-0.0106	0.0053	-0.0025	-0.004	0.0042	-0.0007	-0.0082	Central
116277_G07	Finland_Subset	0.0115	-0.0277	0.0028	0.0296	-0.0162	-0.0035	-0.0269	-0.0084	-0.0041	-0.0063	North
116277_H02	Italy	-0.0264	-0.0028	-0.0066	-0.0009	-0.0025	0.0125	0.0015	0.004	0.0043	-0.0078	South
116277_H03	Germany	0.0027	-0.0171	0.0152	-0.005	0.0077	-0.0032	0.0044	0.0031	-0.0002	-0.0033	Central
116277_H04	Germany	-0.0002	-0.0071	0.0145	-0.0091	-0.0031	-0.0074	-0.0111	-0.0004	-0.0041	0.0054	Central
116277_H06	France	-0.0081	0.0046	0.0037	-0.0043	-0.0072	-0.0029	0.0038	0.0062	-0.0049	-0.0011	West
116278_A09	NIreland	0.0024	0.0147	0.0173	0.0144	0.0095	0.0093	-0.0013	-0.0098	-0.0046	0.0014	West
116278_B09	NIreland	0.003	0.0122	0.0089	0.0175	-0.0017	0.0111	-0.0072	0.0079	-0.0081	-0.0073	West
116278_D08	Italy	-0.02	-0.0015	-0.0081	-0.0072	-0.0137	0.0026	0.0104	-0.0046	-0.0066	0.0018	South
116278_E08	Italy	-0.0194	0.0012	0.0038	-0.0067	-0.0082	-0.0001	-0.008	-0.004	-0.0022	-0.0102	South
116278_F07	Finland_Subset	0.0162	-0.0303	-0.005	0.0416	-0.0267	-0.0094	-0.0494	0.0032	-0.0017	0.0037	North
116278_H11	Sweden	0.0102	-0.0089	-0.0056	0.001	-0.0033	-0.0017	-0.0031	0.004	-0.0049	0.005	North
116279_A03	Sweden	0.01	-0.0041	-0.0084	-0.0043	-0.0011	-0.0044	-0.0019	0.0051	0.0032	-0.0016	North
116279_A07	Germany	0.0035	-0.0074	0.012	-0.0074	0.0048	0.003	-0.003	0.0044	0.0047	0.0001	Central
116279_A10	Italy	-0.0284	-0.0078	-0.01	0.0011	0.0058	0.0173	-0.0048	0.0116	-0.0032	-0.0005	South
116279_A11	Italy	-0.0275	-0.0094	-0.0072	0.002	0.0001	0.0039	-0.0165	0.0015	0.0047	-0.008	South
116279_A12	Italy	-0.0219	-0.0028	-0.0028	-0.0082	-0.0096	0.0017	-0.0084	-0.003	-0.0029	-0.0062	South
116279_B05	Sweden	0.0121	-0.0086	-0.0119	0.0022	-0.0087	0.0006	-0.001	-0.0077	0.0084	0.0018	North
116279_B07	Germany	0.0036	-0.0183	0.02	-0.0067	0.0011	-0.0074	0.0059	0.0136	0.0004	0.0037	Central
116279_B09	Germany	0.0049	-0.0038	0.0043	-0.009	0.0103	-0.0056	-0.0041	0.0063	-0.0032	0.0036	Central
116279_B11	Italy	-0.0292	-0.0146	-0.0046	-0.006	0.0066	0.0118	-0.0048	-0.0038	-0.0062	-0.0018	South
116279_B12	Italy	-0.0319	-0.0126	-0.0097	0.0036	0.0106	0.012	-0.001	0.0007	0.009	-0.0042	South
116279_C01	Denmark	0.008	0.0063	-0.0133	-0.0078	0.0033	-0.0108	-0.0001	0.0019	-0.0054	0.0015	North
116279_C03	Sweden	0.0093	-0.0082	-0.0127	-0.0025	-0.0015	-0.002	0.0048	-0.0057	-0.0041	0.0026	North
116279_C05	Sweden	0.0087	-0.0143	-0.0075	0.0125	-0.0095	0.0001	0.0001	0.0074	-0.0053	-0.0047	North
116279_C06	France	-0.0144	0.0133	0.0049	0.0062	-0.0447	-0.0383	0.0055	0.0085	-0.0103	0.0066	West
116279_C07	Belgium	-0.0016	-0.0014	0.0015	-0.0087	0.003	-0.0155	-0.0092	-0.0097	0.0025	0.0067	West
116279_C08	Norway	0.0083	-0.0074	-0.0139	0.0064	-0.0075	0.0001	0.0078	-0.0007	0.0058	-0.0012	North
116279_C11	Italy	-0.0175	-0.0035	-0.0056	-0.0065	-0.0121	0.0042	-0.0062	-0.0047	0.0069	-0.0026	South
116279_C12	Italy	-0.0199	-0.0004	-0.0025	-0.0027	-0.0217	-0.0018	-0.0099	-0.0018	0.0028	-0.0086	South
116279_D02	Sweden	0.0098	-0.0048	-0.0073	-0.005	-0.0019	0.0051	0.0038	0.0082	0.0021	-0.001	North
116279_D04	Germany	0.0039	-0.0215	0.0319	-0.0127	0.0079	-0.0062	0.0132	-0.0054	0.0043	-0.0058	Central
