id	pop	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10	group
83815_A12	Denmark	0.0069	-0.0015	-0.0055	-0.0119	0.0129	-0.0014	0.002	0.006	0.0035	-0.0091	North
83815_B02	Finland_Subset	0.016	-0.0285	-0.0062	0.03	-0.0269	-0.0054	-0.0406	0.0096	-0.0015	0.0089	North
83815_B08	Finland_Subset	0.0157	-0.0327	-0.0036	0.0329	-0.0211	-0.01	-0.0437	-0.0049	-0.0104	0.0038	North
83815_B12	Denmark	0.0081	0.0001	-0.0026	-0.0103	0.0016	-0.0031	0.0097	-0.0107	-0.0042	0.0116	North
83815_C12	Denmark	0.0082	0.0008	-0.0086	-0.0126	0.0022	-0.0114	0.0081	0.0026	-0.0026	-0.0059	North
83815_D04	Finland_Subset	0.015	-0.0344	-0.0017	0.0312	-0.0193	-0.0117	-0.0476	0.0003	0.0035	-0.0023	North
83815_D10	Finland_Subset	0.0173	-0.0325	-0.0018	0.0358	-0.0285	-0.0123	-0.0353	-0.0044	-0.0051	0.0012	North
83815_D12	Denmark	0.0085	0.0042	-0.0089	-0.0074	0.0036	-0.0081	0.0044	0.0051	0.0058	0.0042	North
83815_E11	Denmark	0.009	-0.004	-0.0095	-0.0139	0.003	-0.0051	-0.0015	0.0044	-0.0016	0.0099	North
83815_E12	Denmark	0.0052	0.0046	-0.0027	-0.0078	0.0095	0.0019	0.0035	0.0054	-0.0087	0.0065	North
83815_F12	Denmark	0.0058	0.0007	-0.0065	-0.0086	0.0037	0.0023	0.0029	-0.0042	0.0047	-0.0034	North
83815_G05	Finland_Subset	0.0124	-0.0244	-0.0001	0.0187	-0.0167	-0.0117	-0.0257	0.0083	-0.0007	0.0014	North
83815_G11	Denmark	0.0087	-0.0039	-0.0073	-0.0047	0.0083	-0.0044	0.0082	0.0075	-0.001	-0.0003	North
83815_G12	Denmark	0.0057	-0.0015	-0.005	-0.0066	0.0044	-0.0009	0.0031	0.0001	0.0028	-0.002	North
83815_H02	Finland_Subset	0.0144	-0.0301	-0.0071	0.0207	-0.0158	-0.0128	-0.0216	-0.0136	-0.0036	0.0033	North
83815_H08	Finland_Subset	0.0159	-0.0325	-0.0087	0.0332	-0.0181	-0.0157	-0.0531	-0.0166	-0.0077	-0.0056	North
83815_H11	Denmark	0.0066	0.001	-0.0054	-0.0119	0.0056	-0.0079	-0.0023	0.005	-0.0017	0.0033	North
83815_H12	Denmark	0.0034	-0.0011	-0.0123	-0.0061	0.0053	0.0033	-0.005	-0.0005	0.0045	-0.0022	North
83817_A01	Italy	-0.0335	-0.0102	-0.0109	0.0003	0.0049	0.0104	-0.0008	-0.0035	0.0001	0.0056	South
83817_A02	Italy	-0.0181	-0.0033	0.0003	-0.0058	-0.0161	0.0013	-0.001	-0.0044	-0.0012	-0.0101	South
83817_A03	Italy	-0.0239	-0.0034	0.0004	-0.0021	-0.003	0.0107	-0.0034	0.0041	0.0142	0.0057	South
83817_A04	Italy	-0.0254	-0.0068	-0.0062	0.0006	0.0018	0.0105	-0.0101	0.0036	0.0037	0.002	South
83817_A06	Italy	-0.0301	-0.0082	-0.0085	-0.0037	0.0033	0.0253	-0.0152	0.0006	-0.0018	0.006	South
83817_A07	Italy	-0.0185	0.0033	-0.0028	-0.0053	-0.018	0.0056	-0.0102	-0.0034	0.001	0.0027	South
83817_A08	Italy	-0.0191	0.0008	-0.0018	0.0034	-0.0174	0.0032	-0.0012	-0.0049	-0.0104	-0.0007	South
83817_A09	Italy	-0.0179	-0.0003	-0.0036	-0.0117	-0.0128	-0.0007	-0.006	-0.0056	-0.0028	-0.0107	South
83817_A10	Italy	-0.0186	0.0022	-0.0028	-0.0009	-0.0035	-0.0017	-0.0005	0.005	-0.003	-0.0016	South
83817_A11	Italy	-0.0222	-0.0017	0.0017	-0.0001	-0.0065	0.0113	-0.0098	-0.0045	-0.0063	-0.0148	South
83817_A12	Italy	-0.0164	-0.0009	-0.0005	-0.0021	-0.008	-0.0035	0.0091	-0.0007	-0.0058	-0.0183	South
83817_B01	Italy	-0.0333	-0.0122	-0.0118	0.0089	0.0198	0.0208	0.0013	-0.006	0.0091	0.012	South
83817_B02	Italy	-0.0286	-0.0052	-0.0108	-0.0079	-0.0107	0.0054	-0.0031	-0.0022	0.0025	-0.0012	South
83817_B03	Italy	-0.0325	-0.0106	-0.0119	0.0041	0.0126	0.0091	-0.005	-0.011	0.0058	-0.002	South
83817_B04	Italy	-0.0034	-0.0168	0.0196	-0.0019	0.0047	0.0048	-0.0052	-0.0029	0.0013	-0.0038	South
83817_B05	Italy	-0.0168	-0.0006	0.0024	0.0008	-0.0153	0.0002	-0.0062	-0.0133	0.0001	0.0004	South
83817_B06	Italy	-0.0178	0.0003	-0.0033	-0.0067	-0.0136	-0.0024	-0.004	-0.0033	-0.0072	-0.0119	South
83817_B07	Italy	-0.0193	-0.002	-0.0029	-0.0023	-0.008	-0.0016	-0.0005	-0.0092	-0.0006	0.0034	South
83817_B08	Italy	-0.02	0.0012	0.0015	-0.0047	-0.0127	0.0054	-0.0016	0.0012	-0.0026	0.0117	South
83817_B09	Italy	-0.0309	-0.0122	-0.0104	0.0016	0.009	0.022	-0.0074	0.0038	-0.0007	-0.0072	South
83817_B10	Italy	-0.0338	0.0048	-0.0093	-0.0074	-0.0372	-0.0288	0.0064	-0.0066	0.0043	-0.0116	South
83817_B11	Italy	-0.0232	-0.0013	-0.0057	-0.0029	-0.0082	0.0118	-0.002	-0.0001	0.0027	-0.0108	South
83817_B12	Italy	-0.0287	-0.0129	-0.007	-0.0029	-0.0051	0.0173	-0.0007	0.0075	-0.0062	-0.0052	South
83817_C01	Italy	-0.0199	-0.0022	0.0025	-0.0023	-0.0015	0.0143	-0.0007	-0.0004	-0.0043	0.0036	South
83817_C02	Italy	-0.0267	-0.0044	-0.003	0.0033	0	0.0137	0.005	-0.0128	-0.0012	-0.0009	South
83817_C03	Italy	-0.0313	-0.0102	-0.0124	0.0002	0.0098	0.0173	-0.0071	-0.0051	0.0037	0.0021	South
83817_C04	Italy	-0.0306	-0.0102	-0.0086	0.0059	0.0063	0.0181	-0.0022	0.0029	0.0062	-0.0093	South
83817_C05	Italy	-0.0194	-0.0048	-0.0019	-0.0061	-0.0125	0.0077	-0.0018	0.0074	-0.0043	-0.002	South
83817_C06	Italy	-0.0191	0.0003	-0.0021	0.0029	-0.0111	0.0051	-0.0032	0.0046	-0.0029	-0.0044	South
83817_C07	Italy	-0.0277	-0.009	-0.0088	0.0036	0.0073	0.0134	0.0015	-0.001	-0.0037	-0.007	South
83817_C08	Italy	-0.0225	-0.0058	-0.0071	-0.0034	-0.0069	-0.0014	0.0035	-0.0036	-0.0109	0.0028	South
83817_C09	Italy	-0.028	0.0018	-0.0071	-0.0062	-0.0325	-0.0166	-0.0012	0.0087	-0.0048	-0.0041	South
83817_C10	Italy	-0.0281	-0.0107	-0.0106	-0.0005	0.012	0.0144	0.0047	0.0057	-0.0027	0.0051	South
83817_C11	Italy	-0.0184	-0.0002	-0.0051	-0.0068	-0.0105	0.0045	-0.0115	0.0029	-0.0024	-0.0099	South
83817_C12	Italy	-0.0212	-0.0034	-0.0015	-0.0026	-0.0175	0.0157	0.0006	-0.0013	-0.0024	-0.0032	South
83817_D01	Italy	-0.0202	-0.0004	-0.0012	-0.0109	-0.0179	0.0024	-0.0083	0.0015	0.0021	-0.003	South
83817_D02	Italy	-0.0184	0.0005	-0.0037	-0.0108	-0.0102	-0.0017	-0.007	0.0019	-0.0012	0.001	South
83817_D03	Italy	-0.03	-0.0135	-0.0058	-0.003	0.0082	0.0074	-0.0047	-0.0005	0.0052	-0.0085	South
83817_D05	Italy	-0.0171	0.0037	0.0019	0.0002	-0.0132	0.0003	0.0078	0.006	-0.0025	0.0011	South
83817_D06	Italy	-0.0197	-0.0016	-0.007	-0.0074	-0.0087	0.004	-0.0015	0.0018	0.0018	-0.0003	South
83817_D07	Italy	-0.018	0.0044	0.0012	-0.0033	-0.019	0.0013	-0.0144	-0.003	0.0036	-0.0074	South
83817_D08	Italy	-0.0232	-0.0044	-0.0083	-0.0012	0.0009	0.0052	-0.0061	-0.0113	-0.0023	-0.0054	South
83817_D09	Italy	-0.0328	0.0049	-0.0043	-0.0019	-0.0495	-0.0217	0.0024	0.0026	0.0007	-0.0053	South
83817_D10	Italy	-0.0041	-0.0011	-0.0004	-0.0078	-0.0058	-0.0046	-0.0015	-0.0063	0.0076	0.0113	South
83817_D11	Italy	-0.0183	-0.001	-0.003	-0.0017	-0.0118	0.0057	-0.0065	0.0033	-0.0083	0.0002	South
83817_D12	Italy	-0.0198	-0.0015	-0.004	0.0016	-0.0043	0.0018	0.0004	0.0051	-0.0019	-0.0132	South
83817_E01	Italy	-0.0167	-0.0106	0.0017	-0.0102	-0.0096	0.0061	0.0038	-0.0027	-0.0082	-0.012	South
83817_E03	Italy	-0.0343	-0.0154	-0.0126	0.0029	0.0121	0.0127	-0.0033	-0.0085	-0.001	0.0049	South
83817_E04	Italy	-0.0217	0.001	-0.0021	-0.0017	-0.0287	-0.0028	-0.0102	-0.0026	0.0105	-0.0059	South
83817_E05	Italy	-0.0176	-0.0009	-0.0058	-0.0014	-0.0059	0.0108	0.0014	-0.0074	-0.0004	0.0036	South
83817_E06	Italy	-0.0174	-0.0023	0.0029	-0.0053	-0.0153	-0.0042	-0.0024	0.0103	-0.0055	-0.0048	South
83817_E07	Italy	-0.0221	0.0005	-0.0051	0.0016	-0.0123	0.0041	-0.0082	-0.0054	0.0007	0.0006	South
83817_E08	Italy	-0.0321	-0.0109	-0.0084	0.0068	0.0175	0.0171	-0.0091	-0.0024	0.0052	-0.0012	South
83817_E09	Italy	-0.0193	0.0008	-0.0019	-0.0047	-0.0179	-0.001	-0.0085	-0.008	-0.0063	-0.0007	South
83817_E10	Italy	-0.0228	-0.0012	-0.005	0.0029	-0.0086	0.0064	0.0043	0.0008	-0.0045	0.0064	South
83817_E11	Italy	-0.0064	-0.0074	0.0121	-0.0057	0.0044	0.0059	-0.004	0.0002	0.0121	-0.0041	South
83817_E12	Italy	-0.0168	0.0024	0.0014	-0.0027	-0.0183	0.0042	0.002	0.003	-0.0044	-0.0033	South
83817_F01	Italy	-0.0235	-0.0022	0.0001	-0.0002	-0.0008	0.0089	0.0014	0.005	0.0006	-0.0042	South
83817_F03	Italy	-0.0199	-0.0053	-0.0008	-0.0038	-0.0174	0.015	-0.0044	0.0037	-0.0018	0.0003	South
83817_F04	Italy	-0.0273	-0.0066	-0.0098	-0.0018	-0.0018	0.0059	0.0002	-0.0087	-0.0057	-0.0073	South
83817_F05	Italy	-0.0178	-0.0024	-0.0005	-0.0029	-0.0045	0.0088	-0.0025	-0.0048	0.0046	0.0019	South
83817_F06	Italy	-0.0241	-0.0052	-0.0079	-0.0033	-0.0079	0.0081	-0.0073	-0.0068	0.0049	0.0083	South
83817_F07	Italy	-0.0175	-0.0005	-0.0043	-0.0048	-0.0138	0.0061	0.0015	0.0035	-0.0082	-0.0077	South
83817_F08	Italy	-0.0226	-0.0033	-0.0047	-0.0058	-0.0099	0.0039	-0.0076	0.0002	0.0049	0.0061	South
83817_F09	Italy	-0.0104	0.0042	-0.0007	0.0044	-0.0084	0.0075	0.0031	0.0027	0.0027	-0.0164	South
83817_F10	Italy	-0.0145	-0.0037	0.0051	-0.0073	-0.0094	0.0023	0.0103	0.0099	-0.0105	-0.0038	South
83817_F11	Italy	-0.0306	-0.0112	-0.0104	0.0021	0.006	0.0092	-0.0047	-0.0062	-0.0006	-0.0114	South
83817_F12	Italy	-0.0217	-0.0032	-0.0007	-0.0023	-0.0075	0.0026	-0.0045	0.0083	-0.0008	-0.0049	South
83817_G01	Italy	-0.0201	-0.0004	0.0033	-0.0081	-0.0086	0.0095	-0.0114	0.0004	-0.0037	-0.003	South
83817_G03	Italy	-0.0256	-0.0082	-0.0066	-0.0027	0.0061	0.0094	-0.0066	0.0112	-0.0007	-0.0042	South
83817_G04	Italy	-0.0325	-0.0017	-0.008	-0.002	-0.0157	-0.0116	-0.001	0.0038	-0.0032	0.01	South
83817_G05	Italy	-0.0207	-0.0036	-0.0004	-0.0113	-0.0029	0	-0.0032	-0.0015	-0.0015	0	South
83817_G06	Italy	-0.035	-0.0138	-0.0124	0.0058	0.0191	0.0162	-0.0103	0.005	0.0096	-0.0003	South
83817_G07	Italy	-0.0281	-0.0105	-0.0066	0.0073	0.0069	0.0182	-0.0177	-0.0069	0.0021	-0.0029	South
83817_G08	Italy	-0.0335	0.0038	-0.0076	-0.0066	-0.0387	-0.0265	0.0023	0.0067	-0.0048	0.0006	South
83817_G09	Italy	-0.0207	-0.0011	-0.0042	-0.0071	-0.0106	-0.0005	-0.0025	-0.007	0.0061	-0.0033	South
83817_G10	Italy	-0.0299	-0.0124	-0.0109	0.0016	0.0052	0.0233	-0.0086	-0.011	-0.002	0.0008	South
83817_G11	Italy	-0.0169	-0.0025	0.0021	-0.0095	-0.0071	0.0097	-0.0014	-0.0028	-0.0044	-0.0024	South
83817_G12	Italy	-0.0333	0.0068	-0.0089	-0.0042	-0.0498	-0.0331	0.0184	0.002	-0.0074	-0.0004	South
83817_H01	Italy	-0.0331	-0.009	-0.0103	0.0061	0.0093	0.0078	0.0009	0.0024	0.0042	-0.0081	South
83817_H03	Italy	-0.0219	0	-0.0035	-0.0027	-0.0085	0.0039	-0.0138	-0.0041	-0.0009	-0.0011	South
83817_H04	Italy	-0.0181	0.0027	-0.0013	-0.0063	-0.0168	0.0033	-0.0046	0.0004	-0.0023	-0.0057	South
83817_H05	Italy	-0.0178	-0.0037	-0.0025	-0.0051	-0.0113	0.0059	-0.0088	0.0068	-0.0059	0.0053	South
83817_H06	Italy	-0.018	-0.0033	0.0003	-0.0076	-0.0119	0.0035	-0.0026	0.0001	-0.0107	0.0025	South
83817_H07	Italy	-0.027	-0.0047	-0.0094	-0.0032	0.0001	0.0028	-0.005	-0.0081	-0.0038	0.0071	South
83817_H08	Italy	-0.0203	0.0017	-0.004	-0.0071	-0.011	0.0097	0.0006	-0.0087	-0.0031	-0.0066	South
83817_H09	Italy	-0.0155	-0.0033	0.0012	-0.0061	-0.0032	0.0011	0.0069	0.0095	-0.0104	-0.0021	South
83817_H10	Italy	-0.0291	-0.0009	-0.0107	-0.0043	-0.0303	-0.0068	0.0085	-0.0009	-0.008	0.0013	South
83817_H11	Italy	-0.0187	0.0009	-0.0089	-0.0072	-0.0079	0.0026	0.0038	0.0001	-0.0011	-0.0065	South
83817_H12	Italy	-0.0225	-0.0006	-0.002	0.0028	-0.0036	0.0156	-0.0006	0.0072	0.0049	0.0167	South
83818_A01	Italy	-0.0221	-0.0023	-0.0034	-0.0033	-0.0063	0.0127	-0.0074	-0.0102	0.0003	0.0032	South
83818_A02	Italy	-0.0169	-0.0038	-0.0015	-0.0074	-0.0108	0.006	0.0024	0.0049	0.0016	0.0063	South
83818_A03	Italy	-0.0182	0.0012	-0.0028	-0.0133	-0.0152	0.0034	0.0021	0.0022	-0.0076	0.0063	South
83818_A04	Italy	-0.0314	-0.0119	-0.0069	0.0073	-0.0004	0.023	-0.0098	-0.0001	0.0077	-0.0112	South
83818_A05	Germany	-0.001	0.002	-0.0008	-0.0051	0.0068	-0.0077	0.0049	0	-0.0036	0.0013	Central
83818_A07	Germany	0.0012	0.0026	-0.0045	-0.0073	0.0048	-0.0113	-0.0041	-0.0002	0.0079	-0.002	Central
83818_A08	Germany	0.0014	-0.0072	0.0139	-0.003	-0.004	-0.0021	0.0062	0.0051	0.0019	0.0076	Central
83818_A09	Germany	-0.0011	-0.0006	-0.0025	-0.0111	0.0001	-0.0047	-0.0069	-0.0022	-0.011	0.001	Central
83818_A11	Germany	0.0013	-0.0032	-0.0014	-0.0113	-0.0029	-0.0062	-0.009	-0.0084	-0.0052	-0.0039	Central
83818_A12	Germany	-0.0025	-0.0044	0.0066	-0.0104	0.0007	-0.0107	-0.0083	-0.0036	-0.0023	-0.0079	Central
83818_B01	Italy	-0.0231	-0.0007	-0.0047	-0.0003	-0.0129	-0.0058	-0.0037	-0.0001	-0.0043	0.0057	South
83818_B02	Italy	-0.0272	-0.0079	-0.0066	-0.0031	-0.006	0.0046	-0.0171	0.0056	0.0021	-0.0055	South
83818_B03	Italy	-0.0231	-0.0008	-0.0044	-0.0047	-0.0093	0.0111	-0.0098	-0.0036	0.0056	0.012	South
83818_B04	Italy	-0.0179	-0.0013	-0.003	-0.0023	-0.0133	0.0069	0.0004	-0.0051	-0.0068	0	South
83818_B05	Germany	0.0033	-0.0096	0.0066	-0.0092	0.0084	-0.002	0.0002	-0.0045	0.0101	-0.0023	Central
83818_B07	Germany	0.0004	-0.003	0.0037	-0.0145	-0.0103	-0.0146	0.0116	0.0156	-0.0016	0.0039	Central
83818_B08	Germany	0.0058	-0.011	0.011	-0.0087	0.0079	-0.0039	0.0062	-0.0008	0.0059	0.008	Central
83818_B09	Germany	0.0046	-0.0142	0.0167	-0.0105	-0.0053	-0.0001	0.0036	-0.0025	0.0045	0.007	Central
83818_B11	Germany	0.0012	0.0004	-0.0028	-0.0058	0.0001	-0.0066	0.0011	-0.0018	0.0001	0.0055	Central
83818_B12	Germany	0.0024	0.0029	0.0015	-0.0072	0.0032	0.0026	0.0002	-0.0032	0.0024	-0.0021	Central
83818_C01	Italy	-0.0198	0.0015	-0.0025	-0.007	-0.0162	0.0018	-0.0052	-0.0065	-0.004	0.0021	South
83818_C02	Italy	-0.031	-0.0129	-0.0118	0.0009	0.0159	0.0198	-0.0083	-0.0031	-0.0023	-0.0036	South
83818_C03	Italy	0.0029	0.0088	-0.0001	0.0063	0.0047	0.0015	-0.0092	-0.0013	0.0119	-0.0071	South
83818_C04	Italy	-0.0203	0.0007	-0.0069	0.0006	-0.0107	0.0027	-0.0011	0.0077	0.0021	0.0055	South
83818_C05	GNG	0.0077	0.0054	0.0005	-0.0173	0.0128	-0.0047	-0.0015	-0.0023	0.0042	0.0023	Central
83818_C07	Germany	0.006	-0.0056	0.0031	-0.0115	0.007	-0.0041	0.0016	0.0063	0.0022	0.003	Central
83818_C08	Germany	0.0057	-0.0176	0.0221	-0.0086	-0.0015	-0.0112	0.0122	-0.0024	0.0004	0.0008	Central
83818_C11	Germany	0.0019	-0.0006	0.0021	-0.0122	0.0094	-0.0018	-0.003	-0.0088	0.0007	0.0027	Central
83818_C12	Germany	-0.0045	-0.0025	-0.0022	-0.006	-0.0018	0.0008	-0.0047	0.0011	-0.0169	-0.0025	Central
83818_D01	Italy	-0.0344	-0.0145	-0.0066	0.0083	0.0159	0.0129	-0.004	-0.0002	0.0023	0.0015	South
83818_D02	Italy	-0.0303	-0.0105	-0.0144	0.0004	0.0083	0.0093	-0.0022	0.0021	0.001	-0.0089	South
83818_D03	Italy	-0.0184	-0.0019	0.0006	-0.0027	-0.0124	0.0078	0.008	-0.0004	-0.0071	0.0073	South
83818_D04	Italy	-0.0289	-0.0091	-0.0091	0.0014	-0.0021	0.0173	-0.0102	-0.0019	-0.0068	-0.001	South
83818_D05	GNG	0.006	0.005	-0.0052	-0.0152	0.0136	-0.0036	-0.0087	-0.001	0.008	-0.0013	Central
83818_D07	Germany	-0.0002	-0.0007	-0.0027	-0.0131	0.01	-0.0002	0.0007	0.0026	-0.0074	0.0067	Central
83818_D08	Germany	-0.0024	0.0015	-0.0026	-0.0081	-0.0006	-0.0026	0.0091	-0.0001	0.0028	0.008	Central
83818_D09	Germany	0.0026	-0.0061	0.0115	-0.0108	0.0082	-0.0113	-0.0084	-0.0037	0.0028	0.0058	Central
83818_D11	GNG	0.0072	0.008	-0.0058	-0.0157	0.0147	-0.0021	-0.011	0.0026	-0.0003	-0.0082	Central
83818_D12	Germany	-0.0242	-0.0303	-0.0076	0.0395	0.0596	0.0451	-0.0373	-0.0059	0.0091	-0.0088	Central
83818_E02	Italy	-0.0223	0.0027	-0.0015	0.0004	-0.0131	0.0021	0.0005	-0.0149	-0.0058	-0.0018	South
83818_E03	Italy	-0.0224	-0.0064	-0.0069	0.0066	-0.001	0.0012	0.0037	-0.0004	0.0078	0.0039	South
83818_E04	Italy	-0.0166	0.0004	-0.0057	-0.0013	-0.0173	0.0148	0.0025	0.0026	-0.0023	-0.0056	South
83818_E05	Germany	-0.0018	-0.0024	0.0025	-0.0007	0.0027	0.0078	-0.0105	0.0035	0.0022	-0.0007	Central
83818_E06	Germany	-0.007	0.0017	0.0011	-0.0006	-0.0072	-0.0005	0.0053	-0.0036	0.0155	0.0014	Central
83818_E07	Germany	0.0002	0.0036	-0.0003	-0.0098	0.0027	0.0001	0.0028	0.0002	0.0057	0.0026	Central
83818_E08	Germany	0.001	-0.0002	0.0066	-0.0002	0.0042	-0.0046	0.0086	0.0041	0.0045	-0.0012	Central
83818_E09	GNG	0.0054	0.0015	-0.004	-0.0164	0.0123	-0.0025	0	-0.0109	0.004	0.0013	Central
83818_E10	Germany	-0.0027	-0.0134	0.0122	-0.0045	0.0068	0.0064	0.0076	-0.0023	0.0091	-0.0015	Central
83818_E12	Germany	0.0027	-0.026	0.0306	-0.0081	0.0019	0.0066	0.0065	0.0032	-0.0025	-0.0015	Central
83818_F02	Italy	-0.0196	0.0005	-0.0022	-0.0028	-0.0045	0.0127	-0.0081	-0.0031	-0.0098	0.0007	South
83818_F03	Italy	-0.0179	-0.0087	0.0011	0.0011	-0.0003	-0.0037	0.0026	-0.0066	-0.0078	0.0056	South
83818_F04	Italy	-0.0223	-0.0023	-0.0043	-0.004	-0.0025	0.0059	0.0032	0.0004	-0.0008	-0.0061	South
83818_F05	Germany	-0.0043	-0.0002	0.0022	-0.0124	-0.0017	-0.0029	0.0062	0.0011	0.0044	-0.0075	Central
83818_F06	GNG	0.0042	-0.0021	-0.0013	-0.0146	0.0109	-0.0046	0.0078	0.0035	0.0051	-0.0054	Central
83818_F07	Germany	0.0018	-0.0073	0.0127	-0.0088	0.0022	-0.0037	0.0098	0.0056	-0.0011	0.0079	Central
83818_F08	Germany	-0.0007	-0.011	0.0104	-0.0065	0.0036	0.0034	-0.0012	-0.0052	-0.0072	0.0019	Central
83818_F09	Germany	0.0002	0.0049	-0.0026	-0.0097	0.0042	-0.0044	-0.0093	0.0031	0.0002	-0.0083	Central
83818_F10	Germany	0.0005	0.0005	0.0016	-0.0141	0.0069	-0.0014	0.0016	-0.0005	0.0029	0.0033	Central
83818_F12	GNG	0.0052	-0.0045	0.0025	-0.0103	0.0056	-0.0008	-0.0042	-0.005	0.0024	-0.0018	Central
83818_G02	Italy	-0.0287	-0.0137	-0.0106	-0.003	0.0054	0.0186	-0.0066	-0.0117	0.0004	-0.0091	South
83818_G03	Italy	-0.0315	-0.0093	-0.0135	0.0039	0.004	0.0138	-0.0005	-0.0041	0.0093	0.0061	South
83818_G04	Italy	-0.0315	0.0051	-0.0133	-0.0084	-0.0426	-0.0281	0.0009	-0.0036	-0.0066	-0.0022	South
83818_G05	Germany	-0.007	-0.0033	-0.0065	-0.0055	-0.0056	-0.0053	-0.0053	-0.0014	0.0072	0.0035	Central
83818_G06	Germany	-0.0001	-0.0045	0.0039	-0.005	-0.0031	-0.0005	0.0048	0.0002	0.0052	0.0081	Central
83818_G07	Germany	0.0018	-0.0132	0.0117	-0.0071	-0.0013	0.0006	0.0109	0.0029	-0.0016	-0.0147	Central
83818_G08	Germany	-0.0032	0.0019	-0.0005	0.0025	-0.0043	-0.0018	0.0035	0.011	-0.0078	0.0019	Central
83818_G09	Germany	-0.0038	-0.0018	-0.0057	-0.0066	-0.0008	-0.0013	0.0021	0.0001	-0.0017	0.0022	Central
83818_G10	Germany	-0.001	-0.0099	0.0044	-0.0124	0.0029	-0.0037	-0.0026	0.0057	0.0072	0.0011	Central
83818_G12	Germany	-0.0019	0.0057	-0.0034	-0.0111	0.0024	-0.0047	-0.0093	-0.0033	-0.0015	0.0012	Central
83818_H02	Italy	-0.0278	-0.0042	-0.0066	-0.0057	0.0018	0.015	-0.0068	0.0022	0.0036	-0.0114	South
83818_H03	Italy	-0.021	-0.0009	-0.0009	-0.0061	-0.0199	0.0012	0.0072	0.0047	0.0054	-0.002	South
83818_H04	Italy	-0.0168	-0.0054	-0.0044	-0.0028	-0.0171	0.0098	0.0068	0.0012	0.0027	0.0052	South
83818_H06	Germany	-0.003	0.0026	-0.0019	-0.007	-0.0012	0.0012	0.0033	-0.006	-0.0007	0.007	Central
83818_H07	Germany	0.0053	-0.0092	0.0174	-0.007	0.0057	0.0007	0.0089	-0.0023	0.004	0.0073	Central
83818_H08	Germany	0.0025	0.0023	0.0007	-0.009	0.0152	0.003	-0.0144	-0.0126	-0.0046	-0.0045	Central
83818_H09	Germany	0.0026	-0.011	0.017	-0.0085	-0.0026	-0.0026	0.0082	0.0041	0.0013	-0.0027	Central
83818_H10	Germany	0.0001	-0.009	0.0086	-0.004	0.0063	-0.0011	-0.0106	-0.0007	0.0026	-0.0019	Central
83818_H12	Germany	-0.0006	-0.0086	0.0167	-0.004	0.0047	-0.002	0.0005	-0.0004	0.0014	0.0085	Central
86189_A01	Italy	-0.0292	-0.0106	-0.01	0.0024	0.0101	0.0196	-0.0051	-0.0073	0.0114	-0.0073	South
86189_A02	Italy	-0.0181	-0.0003	0.0002	-0.0031	-0.0111	0.0078	-0.0082	-0.0079	-0.0037	-0.004	South
86189_A03	Italy	-0.0308	-0.01	-0.0063	-0.0047	0.0008	0.0171	-0.0067	0.0029	-0.0056	-0.0057	South
86189_A04	Italy	-0.0174	-0.0004	-0.0029	-0.0098	-0.0143	0.0043	0.0004	0.0113	0.0011	-0.0112	South
86189_B01	Italy	-0.0177	0.0028	-0.0015	-0.0025	-0.0014	-0.0074	-0.0171	-0.0021	-0.0056	-0.0023	South
86189_B02	Italy	-0.0227	-0.0034	-0.0039	-0.0053	-0.0075	0.009	0.0006	0.0038	-0.0098	-0.0089	South
86189_B03	Italy	-0.0127	0.0057	0	0.0006	-0.0161	-0.0151	0.0083	-0.0058	-0.0016	-0.0032	South
86189_B04	Italy	-0.0125	0.0022	-0.0052	-0.003	-0.0052	-0.009	0.0028	0.003	0.0092	0.0017	South
86189_C01	Italy	-0.0321	-0.0109	-0.0124	0.0056	0.02	0.092	-0.0571	0.1121	0.1008	-0.0608	South
86189_C02	Italy	-0.0268	-0.0131	-0.0027	0.0085	0.0035	0.0253	-0.003	0.0005	-0.0014	0.0023	South
86189_C03	Italy	-0.016	-0.003	-0.0015	-0.0054	-0.0032	0.0052	-0.0076	0.0011	-0.0149	0.001	South
86189_C04	Italy	-0.0304	-0.0103	-0.0119	-0.0001	0.0083	0.0196	-0.0068	0.0013	0.0052	0.0095	South
86189_D01	Italy	-0.0194	-0.0011	-0.0048	-0.0098	-0.006	0.0035	-0.0042	-0.0036	-0.0017	-0.0084	South
86189_D02	Italy	-0.0258	-0.0091	-0.0096	-0.0007	-0.0003	0.0023	0.0015	-0.0084	0.0106	0.0023	South
86189_D03	Italy	-0.0241	-0.0005	-0.0054	0.0024	-0.005	0.0195	-0.0064	0.005	-0.0048	-0.0023	South
86189_D04	Italy	-0.0321	-0.0158	-0.0141	0.0066	0.0113	0.0164	-0.0068	0.008	0.0077	0.0038	South
86189_E01	Italy	-0.0294	-0.0114	-0.0082	0.005	0.0071	0.0118	-0.0067	-0.0047	-0.002	-0.0011	South
86189_E02	Italy	-0.0213	-0.0023	0.0026	-0.0127	-0.0085	-0.0013	0.0049	-0.0018	-0.0024	-0.0047	South
86189_E03	Italy	-0.0238	-0.0079	-0.0074	0.0016	-0.0101	0.0078	-0.0082	-0.0072	-0.0003	-0.0057	South
86189_E04	Italy	-0.0191	-0.0002	-0.0002	-0.0024	-0.0123	0.0011	-0.0068	0.0066	0.0049	0.0032	South
